FunciÃ³n,DimensiÃ³n,Semilla,f(x),Tiempo
Rastrigin,2,2654417433,16.38426191657879,0.05054473876953125
Rastrigin,2,4213231469,47.07188869048782,0.0247955322265625
Rastrigin,2,3254626252,28.55227259561091,0.021457672119140625
Rastrigin,2,3839102024,39.22257687451087,0.0209808349609375
Rastrigin,2,3824960467,32.50782903769209,0.019550323486328125
Rastrigin,5,3701806290,87.6787584905884,0.03528594970703125
Rastrigin,5,2525427233,67.91915068480932,0.03361701965332031
Rastrigin,5,4166267789,62.40642449904161,0.033855438232421875
Rastrigin,5,2755640588,82.3204021254767,0.03314018249511719
Rastrigin,5,4237844432,89.49545841724193,0.03457069396972656
Rastrigin,10,3847363301,194.80702635382988,0.05936622619628906
Rastrigin,10,2200449572,155.2039293135679,0.06031990051269531
Rastrigin,10,2247576308,184.954987816725,0.05888938903808594
Rastrigin,10,2892078813,167.41186495751992,0.05817413330078125
Rastrigin,10,3891828725,196.22858971825804,0.06103515625
